long	lat	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	srtm	ndvi	ndvistd	qscat	tree
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
-72.05	43.67	6.10833311080933	12.4333333969116	30.6239738464355	1009.57421875	26.2999992370605	-14.3000001907349	40.5999984741211	18.216667175293	-5.53333330154419	18.216667175293	-6.81666660308838	1031	102	67	13.4483203887939	289	208	289	219	350	8352	703	-972	0
